Rank	Protein	Mean rank	Overlapping Proteins
139	PRKDC	153.9	RB1,TOP2A,CDKN1C,PECR,LRRK2,FOXI1,HSPB1,CALML3,PEPD,SYNE2,KIF15,PCM1,GRB14,BLNK,SPDL1,TNS1,PDGFRB,DAXX,PARP4,WRNIP1,ANK2,PROX1,DUSP9,MLF1,CIT,ILF3,LATS2,PLCB4,MAP1B,ATP6V1B2,ARHGEF7,DOCK2,PLCB1,FBP1,MET,FBP2,ARHGEF6,CDCA2,UHRF1,NCAPG,HSPD1,PIK3R5,SDCBP,ADGRG1,BCLAF1,MYH10,RANBP2,PLCL1,AP3D1,PTPN13,PLEKHA7,CENPF,HNRNPK,NASP,LHX1,KIF4A,ACIN1,LPIN2,PFKP,WRAP53
140	GAK	154.1	USP6NL,TOP2A,LRRK2,PTPRO,CALML3,FMN2,SIPA1L2,SYNE2,STBD1,NOS1,DLGAP2,NEFH,TNS1,PARP4,DST,MYO7B,ANK2,ANK3,NPNT,ANK1,CIT,GAP43,PITPNM3,PPIF,ATP6V1B2,ALDOB,SCG2,MET,PLEC,ATP6V1A,TBC1D9B,LRP2,HSPD1,TGOLN2,MYH10,FAM83B,SPTBN2,RANBP2,GK,MICAL3,AP3D1,PTPN13,PLEKHA7,SUCLA2,TH,KIF4A,ACIN1,ACO1,LPIN2
141	ALPK2	154.5	RB1,ALDH6A1,CRYBG1,PRUNE2,AHNAK2,ALPK2,ATP1B1,OSMR,PLEKHA7
142	PIK3CG	154.9	TOP2A,CDKN1C,LRRK2,FOXI1,CALML3,PTH1R,RASAL3,PIK3R5,KIF15,NPY,ACAA1,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,SLC36A2,IDH1,PLCL1,MAGI2,MICAL3,ANK2,ANK3,PTPN13,ANK1,DUSP9,SOD3,APBB1IP,PLCB4,PITPNM3,KIF4A,ATP6V1B2,PLCB1,DOCK2,FBP1,MET,ARHGEF6
143	WEE2	156.5	RB1,TOP2A,SLC23A1,LRRK2,FOXI1,ANK2,ANK3,ANK1,DUSP9,CIT,KIF15,LATS2,NASP,CSPP1,KIF4A,MYH10,MET,TJP3,TNS1
144	CSNK1G2	157	RB1,PDGFRB,CDKN1C,RANBP2,PDGFRA,LRRK2,MICAL3,AP3D1,SOD3,RAP1GAP,CIT,PCM1,LATS2,GPD1,PPIF,BLNK,DPEP1,ARHGEF7,RABL6
145	SRPK2	157.4	RB1,PDGFRB,PDGFRA,LRRK2,ZFP91,ACSM2A,ANK3,ATP1B1,L1CAM,PTPN13,BICD1,CIT,MZT2B,RSL1D1,BCLAF1,HNRNPK,TCOF1,EPB41L1,PALLD,ACIN1,LZTS2,PLCB1,MET
146	BMPR1A	158	RB1,CDKN1C,LRRK2,PTPRO,LRP2,PTH1R,PCM1,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,PKLR,DST,PLCL1,MAGI2,ANK2,PDZK1,PROX1,ATP1B1,NPNT,PTPN13,HSPG2,DUSP9,SOD3,PARD3B,HNRNPK,PLCB4,PARD3,LHX1,MAP1B,ALDOB,PLCB1,FBP1,MET,FBP2,TJP3,PLEC
147	MAPK11	158.5	LRRK2,PTPRO,HSPB1,CALML3,FMN2,SIPA1L2,GRB14,BLNK,NOS1,NEFH,TNS1,PDGFRB,PDGFRA,DAXX,FCER1G,MAGI2,ZFP91,ANK2,ANK3,ATP1B1,DUSP9,ANK1,CIT,SLC9A3,SLC9A4,LATS2,PLCB4,MAP1B,GPD1,ATP6V1B2,PLCB1,ARHGEF7,MET,RABL6,PLEC,ATP6V1A,WIZ,GRAMD4,RAP1GAP,HSPD1,MYH10,EPHX2,PLCL1,AP3D1,PTPN13,SOD3,PLEKHA7,HNRNPK,TH,NPHS1
148	CAMK4	158.8	USP6NL,CALML3,SDCBP,BASP1,NPY,NOS1,NEFH,CASR,DST,PLCL1,ANK2,ANK3,L1CAM,ANK1,CIT,GAP43,PLCB4,TH,MAP1B,PARD3,KCNMA1,PPIF,ACIN1,ARHGEF7,PLCB1,SLC25A5
149	CDK14	159	RB1,CDKN1C,TOP2A,ATP6V1A,LRRK2,PTPRO,FOXI1,NCAPG,FMN2,KIF15,HSPD1,PDLIM2,DLGAP2,MYH10,TNS1,PDGFRB,IRX1,PDGFRA,IRX2,SLC13A3,PARP4,ANK2,ANK3,PTPN13,ANK1,DUSP9,SOD3,MPP7,CIT,PARD3B,CENPF,LATS2,NASP,PITPNM3,KIF4A,LHX1,LPIN2
150	LIMK2	159.6	RB1,LRRK2,PTPRO,HSPB1,PDLIM2,EPB41L3,PDGFRB,PDGFRA,PKLR,AGXT2,PLCL1,ANK2,ANK3,PDZK1,ATP1B1,PTPN13,ANK1,HSPG2,PRODH2,MPP7,CIT,PARD3B,LATS2,PLCB4,NASP,PARD3,ARHGEF7,PLCB1,MET,ARHGEF6,PLEC
151	MAP2K3	161.8	USP6NL,PDGFRA,DAXX,LRRK2,HSPB1,PTPN13,DUSP9,CIT,HSPD1,ILF3,LATS2,SUCLA2,HNRNPK,NPHS1,NOS1,ARHGEF7,SLC25A5,MET,TNS1
152	PRKCE	162.8	TOP2A,LAD1,LRRK2,PTPRO,HSPB1,CALML3,FMN2,HSPD1,PDLIM2,GRB14,MYH10,TNS1,PDGFRB,PDGFRA,CASR,DAXX,FCER1G,MME,DST,CAV2,EPHX2,PLCL1,AP3D1,ANK2,ANK3,ATP1B1,ANK1,HSPG2,PLEKHA7,CIT,SLC9A3,HNRNPK,PLCB4,LATS2,GJB1,NPHS1,PITPNM3,KCNMA1,PPIF,PLCB1,SLC25A5,MET,LPIN2,PLEC
153	PRKG1	162.9	TOP2A,LAD1,ALDH1L1,LRRK2,HSPB1,FMN2,PEPD,SLC4A4,PCM1,CA9,NOS1,NEFH,TNS1,PDGFRB,PDGFRA,MME,DST,ANK2,ATP1B1,ANK1,PARD3B,CIT,APBB1IP,SLC9A3,GAP43,LATS2,PLCB4,DDAH1,MAP1B,PARD3,KCNMA1,PPIF,PLIN2,ALDOB,PLCB1,SCG2,FBP1,MET,ARHGEF6,TAGLN,DDC,HSPD1,TGOLN2,EPB41L1,NPY,EPB41L3,MYH10,PCK2,RANBP2,GK,PKLR,CAV2,EPHX2,IDH1,PTPN13,SOD3,VIL1,HNRNPK,TH,PSAT1,ACO1,LPIN2,PFKP
154	GRK2	163.3	SLC43A2,LRRK2,PTPRO,HSPB1,ARHGEF10L,CALML3,PTH1R,TRIOBP,PHF8,HSPD1,AKAP12,GRB14,STBD1,NPY,NOS1,NEFH,PDGFRB,IRX1,RANBP2,PDGFRA,GSTM3,CASR,NPY1R,PROX1,L1CAM,ANK1,HSPG2,PLEKHA7,CIT,SLC9A3,LATS2,HNRNPK,TH,PALLD,MAP1B,KCNMA1,PLIN2,ARHGEF7,PLCB1,SLC25A5,MET,ARHGEF6
155	MAP2K1	163.3	RB1,CDKN1C,SCARB1,LRRK2,PTPRO,HSPB1,PTH1R,SYNE2,AKAP12,GRB14,BLNK,SPDL1,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,CASR,FCER1G,MME,MAGI2,NPY1R,ATP1B1,NPNT,DUSP9,CIT,APBB1IP,GAP43,LATS2,PLCB4,MAP1B,PARD3,GPD1,ATP6V1B2,DOCK2,PLCB1,MET,ARHGEF6,PLEC,ATP6V1A,TAGLN,HSPD1,PIK3R5,SDCBP,PDLIM2,MYH10,GSTM3,IDH1,AP3D1,HPS5,L1CAM,PTPN13,SOD3,PLEKHA7,HNRNPK,TH,PSAT1,KIF4A,LAMTOR1
156	MAP2K7	163.6	RB1,CDKN1C,TOP2A,TAGLN,LRRK2,HSPB1,LRP2,RAP1GAP,HSPD1,PIK3R5,AKAP12,TCOF1,NPY,BLNK,CA9,NOS1,FAM83B,TNS1,PDGFRB,RANBP2,PDGFRA,SLC12A3,DAXX,CASR,GK,IDH1,DCXR,MAGI2,AP3D1,ANK3,PTPN13,DUSP9,HSPG2,CIT,SLC9A3,CENPF,GAP43,LATS2,TH,MAP1B,ARHGEF7,MET,LPIN2,TJP3,ARHGEF6,WRAP53,PLEC
157	MAPK9	164	RB1,DDC,TBC1D9B,AHNAK,UHRF1,LRRK2,HSPB1,LRP2,PEPD,TGOLN2,SDCBP,BCLAF1,NHSL2,TKFC,NOS1,NEFH,CHGB,TNS1,RANBP2,PDGFRB,PDGFRA,GSTM3,DAXX,DST,IDH1,ANK2,ANK3,ATP1B1,PTPN13,DUSP9,ANK1,HSPG2,PARD3B,ILF3,HNRNPK,LATS2,TH,MAP1B,PARD3,GSTA1,ACIN1,ARHGEF7,PLCB1,SCG2,MET,ARHGEF6,PLEC
158	STK39	164.6	ATP6V1A,LRRK2,SIPA1L2,SLC4A4,EPB41L1,STBD1,COBLL1,BSND,SLC12A3,CASR,SLC12A1,NPY1R,PDZK1,ATP1B1,PLEKHA7,ASS1,PARD3B,SLC9A3,SLC9A4,PSAT1,KCNMA1,ATP6V1B2,CLDN16,PFKP
159	CAMK1	165.3	PDGFRB,PDGFRA,PECR,CASR,LRRK2,HSPB1,CALML3,ANK2,PROX1,ANK3,RAP1GAP,CIT,LATS2,PLCB4,TH,TCOF1,KCNMA1,NOS1,ARHGEF7,PLCB1,SLC25A5,NEFH
160	TXK	166.7	RB1,LRRK2,PTPRO,CALML3,FMN2,GRB14,BLNK,TNS1,CASR,FCER1G,PKLR,PLCL1,PDZK1,PTPN13,HSPG2,PARD3B,APBB1IP,PLCB4,TH,PARD3,DOCK2,PLCB1,MET,SLC27A2,ARHGEF6
161	MAP4K1	167	PDGFRB,PDGFRA,DAXX,SLC36A2,LRRK2,RASAL3,SIPA1L2,CIT,PHF8,APBB1IP,LATS2,NPHS1,PARD3,BLNK,DOCK2,ARHGEF6
162	EPHB2	167.4	LRRK2,PTPRO,NCAPG,FMN2,TRIOBP,SDCBP,PCM1,BLNK,MYH10,TNS1,PDGFRB,PDGFRA,MME,PKLR,PLCL1,MAGI2,ANK2,PROX1,ANK3,PDZK1,L1CAM,PTPN13,ANK1,HSPG2,SOD3,CIT,PARD3B,VIL1,GAP43,PLCB4,TH,MAP1B,PARD3,LHX1,KIF4A,PPIF,PLCB1,DOCK2,ARHGEF7,MET,ARHGEF6,PLEC
163	FGFR2	167.6	RB1,TOP2A,LRRK2,PTPRO,LRP2,PTH1R,RASAL3,ADGRG1,PDLIM2,GRB14,SALL3,BLNK,NOS1,TNS1,PDGFRB,PDGFRA,IRX2,DAXX,GK,IDH1,PLCL1,SLC12A1,AP3D1,ANK2,ANK3,PROX1,ATP1B1,L1CAM,PTPN13,HSPG2,MLF1,CIT,PLCB4,HNRNPK,LATS2,LHX1,KCNMA1,PLCB1,DOCK2,ARHGEF7,MET
164	DDR1	168.3	TOP2A,LRRK2,PTPRO,HSPB1,RAP1GAP,GRB14,EPB41L1,SPTBN2,PDGFRB,RANBP2,PDGFRA,TMEM132E,MME,SLC16A10,ATP1B1,L1CAM,PTPN13,HSPG2,PLEKHA7,CIT,LATS2,DDAH1,NPHS1,LAMTOR1,MET
165	MAP3K7	168.6	RB1,UHRF1,LRRK2,PTPRO,HSPB1,HSPD1,BCLAF1,UBAP2L,NOS1,LZTS2,TNS1,RANBP2,PDGFRB,PDGFRA,DAXX,PKLR,PLCL1,USP2,ANK2,ANK3,PDZK1,PTPN13,DUSP9,ANK1,HSPG2,MPP7,CIT,PARD3B,HNRNPK,LATS2,PLCB4,SUCLA2,NASP,TH,PARD3,ACIN1,SLC25A5,PLCB1,MET,ARHGEF6
166	CHUK	169.8	RB1,UHRF1,LRRK2,PTPRO,HSPB1,ARHGEF10L,PIK3R5,SDCBP,BCLAF1,PDLIM2,BLNK,NOS1,MYH10,TNS1,RANBP2,PDGFRB,IRX1,PDGFRA,DAXX,PKLR,AGXT2,PLCL1,USP2,AP3D1,ZFP91,PROX1,HPS5,PDZK1,PTPN13,HSPG2,MLF1,ASS1,CIT,AGMAT,PARD3B,SLC9A4,HNRNPK,LATS2,PLCB4,MAP1B,PARD3,ACIN1,ALDOB,ARHGEF7,PLCB1,MET
167	CDK9	170.2	RB1,CDKN1C,TOP2A,UHRF1,LRRK2,ACSM2A,NCAPG,HSPD1,PHF8,BCLAF1,TCOF1,DHX57,UBAP2L,NEFH,MYH10,TNS1,PDGFRB,PDGFRA,DAXX,EAF2,MPP7,CIT,ILF3,HNRNPK,LATS2,SLC25A5,PLEC
168	RPS6KB1	170.4	RB1,TOP2A,LRRK2,FOXI1,HSPB1,FMN2,GRB14,CA9,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,SLC36A2,USP2,MAGI2,ANK2,ANK3,PROX1,ANK1,CIT,LATS2,SLC7A8,MAP1B,PARD3,GPD1,PLIN2,ALDOB,PLCB1,ARHGEF7,DOCK2,MET,ATP6V1A,AHNAK,UHRF1,RASAL3,RAP1GAP,HSPD1,PIK3R5,BCLAF1,TCOF1,NPY,GPAT3,PCK1,MYH10,PCK2,IDH1,AP3D1,PTPN13,SOD3,PLEKHA7,ASS1,RSL1D1,CENPF,HNRNPK,TH,NPHS2,PSAT1,ACIN1,LAMTOR1
169	MAPK13	171.2	RB1,TOP2A,ATP6V1A,TAGLN,LRRK2,PTPRO,HSPB1,CALML3,FMN2,SIPA1L2,RAP1GAP,HSPD1,AKAP12,BLNK,SPDL1,NEFH,MYH10,TNS1,PDGFRB,DAXX,FCER1G,PLCL1,MAGI2,ZFP91,ANK2,ANK3,PTPN13,DUSP9,ANK1,SOD3,PLEKHA7,CIT,SLC9A3,ILF3,SLC9A4,HNRNPK,PLCB4,LATS2,NASP,GPD1,PLCB1,MET
170	ULK2	171.7	RB1,PDGFRB,PDGFRA,PLCL1,USP2,ANK2,ANK3,ELFN2,SOGA1,CIT,KIF15,SDCBP,LATS2,PLCB4,NASP,MAP1B,PARD3,KIF4A,ACIN1,LAMTOR1,PLCB1,TNS1
171	PKN1	172	TOP2A,TOR4A,AHNAK,LRRK2,PALM3,HSPB1,CALML3,FMN2,SDCBP,TKFC,PDLIM2,GRB14,EPB41L3,ZNF687,NEFH,MYH10,PDGFRB,PDGFRA,DAXX,FCER1G,IDH1,DCXR,PLCL1,AP3D1,ANK2,ANK3,DUSP9,ANK1,CIT,LATS2,PLCB4,NPHS1,PARD3,PITPNM3,KCNMA1,PLCB1,DOCK2,ARHGEF7,LPIN2,MET,RABL6,ARHGEF6
172	CAMK2G	172.3	LRRK2,CALML3,SIPA1L2,PCM1,EPB41L1,DLGAP2,SPTBN2,PDGFRB,PDGFRA,CASR,PARP4,MICAL3,ANK2,ANK3,L1CAM,PRODH2,MPP7,CIT,HNRNPK,PLCB4,TH,KCNMA1,ATP6V1B2,PLCB1,PLEC
173	MARK4	172.5	PDGFRB,SOGA1,ANK1,SYNE2,CIT,MZT2B,PCM1,HNRNPK,LATS2,PALLD,MAP1B,NEFH,MYH10
174	EPHA4	173.3	LRRK2,PTPRO,PRUNE2,FMN2,RAP1GAP,TGOLN2,ADGRG1,GRB14,NPY,NEFH,MYH10,TNS1,PDGFRB,PDGFRA,TMEM132E,PKLR,PLCL1,MAGI2,ANK2,ANK3,PDZK1,PROX1,L1CAM,ATP1B1,PTPN13,ANK1,HSPG2,DUSP9,CIT,PARD3B,FABP1,GAP43,HNRNPK,PLCB4,PARD3,MAP1B,PITPNM3,LHX1,KCNMA1,PLCB1,MET,PLEC
175	EIF2AK2	174.2	RB1,LRRK2,HSPB1,NCAPG,FMN2,HSPD1,GRB14,DHX57,UBAP2L,NEFH,PDGFRB,PDGFRA,GSTM3,PARP4,ANK2,NPNT,CIT,RSL1D1,ILF3,HNRNPK,LATS2,TH,PALLD,MAP1B,PLCB1
176	AATK	175.4	PDGFRB,PDGFRA,TBC1D9B,TMEM132E,LRRK2,HSPB1,FMN2,DUSP9,RAP1GAP,CIT,GATM,LATS2,DLGAP2
177	PRKCQ	176.6	RB1,TOP2A,LAD1,LRRK2,PTPRO,HSPB1,CALML3,FMN2,TRIOBP,PCM1,GRB14,BLNK,NOS1,CHGB,PDGFRB,PDGFRA,FCER1G,MAGI2,NPY1R,ANK2,ANK3,PROX1,PDZK1,ATP1B1,ANK1,MLF1,CIT,ILF3,PLCB4,LATS2,MAP1B,PITPNM3,DOCK2,PLCB1,ARHGEF7,MET,ARHGEF6,PLEC,RASAL3,HSPD1,PDLIM2,MYH10,RANBP2,PLCL1,AHNAK2,AP3D1,SLC16A12,L1CAM,CENPF,GATM,HNRNPK,LPIN2,PFKP
178	AAK1	176.7	FMN2,LRP2,ELFN2,SYNE2,HSPD1,TGOLN2,PTDSS1,MAP6,NOS1,MYH10,SPTBN2,PDGFRB,RANBP2,PDGFRA,CASR,DST,MYO7B,AP3D1,ANK3,L1CAM,PLEKHA7,CIT,LATS2,MAP7D2,PPIF,ACO1,MXRA7,LPIN2,PLEC
179	CLK2	177.8	PAGE4,TOR4A,TBC1D9B,UHRF1,LRRK2,HSPD1,SDCBP,BCLAF1,TNS1,IRX1,RANBP2,PDGFRB,PDGFRA,DAXX,GK,AP3D1,PTPN13,DUSP9,CIT,HNRNPK,LATS2,ACIN1,ARHGEF7,MET
180	RPS6KA1	178.1	AHNAK,LRRK2,HSPB1,ARHGEF10L,PEPD,SYNE2,SDCBP,GRB14,EPB41L3,NOS1,TNS1,PDGFRB,DAXX,DST,ANK2,ANK3,PROX1,L1CAM,PTPN13,ANK1,DUSP9,CIT,APBB1IP,SLC9A3,LATS2,TH,MAP1B,LAMTOR1,DOCK2,MET,PLEC
181	TNK2	179	RB1,PDGFRB,PDGFRA,DAXX,LRRK2,MAGI2,MYO7B,AP3D1,HSPB1,RASAL3,DUSP9,CIT,CENPF,LATS2,PARD3,ACIN1,ARHGEF7,SLC25A5,MET,RABL6,ARHGEF6,TNS1,PLEC
182	RPS6KA2	179.1	UHRF1,LRRK2,PTPRO,HSPB1,PDLIM2,GRB14,EPB41L3,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,PKLR,SORD,PROX1,ANK3,L1CAM,ANK1,DUSP9,CIT,RSL1D1,HNRNPK,LATS2,TH,ARHGEF7,MET,ARHGEF6
183	PIK3CB	179.5	RB1,TOP2A,USP6NL,LRRK2,FOXI1,CALML3,PIK3R5,KIF15,PTDSS1,BLNK,ACAA1,TNS1,PDGFRB,PDGFRA,FCER1G,MME,PLCL1,MICAL3,ANK2,HPS5,ANK3,L1CAM,ANK1,DUSP9,PLEKHA7,PLCB4,NPHS1,NPHS2,PARD3,KIF4A,ATP6V1B2,PLCB1,DOCK2,ARHGEF7,MET
184	DYRK1A	179.5	RB1,LRRK2,PEPD,FTCD,HSPD1,LZTS2,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,GK,DCXR,AHNAK2,ANK2,ANK3,ATP1B1,ANK1,DUSP9,CIT,HNRNPK,LATS2,MAP1B,MET
185	MAP2K6	179.8	RB1,DAXX,LRRK2,HSPB1,DUSP9,CIT,LATS2,PLCB4,SUCLA2,NPHS1,GPAT3,NOS1,PLCB1,TNS1
186	MAPKAPK5	180.6	TOP2A,UHRF1,LRRK2,PTPRO,HSPB1,NCAPG,HSPD1,BLNK,NOS1,PDGFRB,RANBP2,PDGFRA,DAXX,ANK2,PTPN13,PLEKHA7,CIT,LATS2,HNRNPK,TH,ILVBL,ARHGEF7,PLCB1,MET
187	PRKD2	180.9	TGOLN2,PDGFRB,LATS2,PLCB4,PDLIM2,DST,MAP1B,PLCL1,PLCB1,CIT
188	EPHB6	181.2	PTPRO,FMN2,SDCBP,GRB14,TNS1,PDGFRB,PDGFRA,PKLR,PLCL1,ANK2,ANK3,PDZK1,HDHD2,PTPN13,ANK1,HSPG2,DUSP9,PARD3B,PLCB4,PARD3,ARHGEF7,PLCB1,MET,PLEC
189	TGFBR1	181.7	RB1,CDKN1C,LRRK2,PTPRO,PTH1R,TRIOBP,PCM1,BLNK,NOS1,TNS1,PDGFRB,PDGFRA,DAXX,PROX1,PDZK1,ATP1B1,ANK1,HSPG2,DUSP9,CIT,PARD3B,LATS2,PLCB4,MAP1B,PARD3,PLIN2,ALDOB,ARHGEF7,DOCK2,PLCB1,MET,ARHGEF6,PLEC,TAGLN,LRP2,SDCBP,BCLAF1,SPTBN2,RANBP2,IRX1,GSTM3,PKLR,CAV2,PLCL1,CGN,PTPN13,ASS1,VIL1,RSL1D1,HNRNPK,NASP,LHX1,ACIN1,TJP3
190	FER	182.2	RB1,DDC,LRRK2,PTPRO,PRUNE2,HSPB1,FMN2,BLNK,TNS1,PDGFRB,PDGFRA,FCER1G,DST,PKLR,PLCL1,PDZK1,ATP1B1,PTPN13,HSPG2,PLEKHA7,MPP7,PARD3B,LATS2,PLCB4,SUCLA2,PARD3,GSTA1,DOCK2,PLCB1,MET,SLC27A2,PLEC
191	DYRK2	182.4	RB1,AHNAK,UHRF1,LRRK2,WIZ,AKAP12,SALL3,BLNK,LZTS2,TNS1,PDGFRB,PDGFRA,DAXX,GK,DST,DCXR,ANK2,ANK3,ATP1B1,ANK1,DUSP9,LATS2,SUCLA2,GPD1,MET
192	RPS6KB2	182.5	PDGFRB,RB1,SLC36A2,LRRK2,MAGI2,AP3D1,FOXI1,HSPB1,WRNIP1,ANK2,ANK3,ANK1,SOD3,PLEKHA7,CIT,HSPD1,HNRNPK,LATS2,GPD1,SLC25A5,DOCK2,MET,TNS1
193	BLK	182.5	RB1,LRRK2,PTPRO,FMN2,RASAL3,COBLL1,BLNK,CA9,TNS1,PDGFRB,PDGFRA,PKLR,PLCL1,MYO7B,PDZK1,PTPN13,HSPG2,MPP7,CIT,PARD3B,APBB1IP,PLCB4,HNRNPK,PARD3,KCNMA1,ARHGEF7,DOCK2,PLCB1,MET,ARHGEF6
194	TESK2	182.7	PKLR,UHRF1,LRRK2,PLCL1,PTPRO,FOXI1,CGN,PDZK1,PTPN13,HSPG2,PLEKHA7,MLF1,PARD3B,LATS2,PLCB4,NASP,PARD3,PLCB1,MET,PLEC
195	CAMK2B	183.1	RB1,LRRK2,CALML3,ARHGEF10L,SIPA1L2,RAP1GAP,DDN,PCM1,EPB41L1,TCEAL2,MAP6,NOS1,DLGAP2,CHGB,SPTBN2,PDGFRB,PDGFRA,GSTM3,CASR,PARP4,DST,CAV2,MICAL3,ANK2,ANK3,ATP1B1,L1CAM,ANK1,PRODH2,MPP7,CIT,GAP43,LATS2,PLCB4,MAP1B,KCNMA1,PLCB1,SCG2,MET
196	MAP3K1	183.8	RB1,TOP2A,USP6NL,TBC1D9B,LRRK2,HSPB1,FMN2,TRIOBP,KIF15,HSPD1,AKAP12,GRB14,COBLL1,NOS1,ZNF687,MYH10,SPTBN2,TNS1,PDGFRB,PDGFRA,DAXX,PARP4,MYO7B,PROX1,ANK3,DUSP9,CIT,VIL1,LATS2,HNRNPK,MAP1B,KIF4A,KCNMA1,GPD1,ALPK2,SLC25A5,ARHGEF6
197	SGK2	184.8	RB1,PECR,LRRK2,FOXI1,BSND,GPAT3,PCK1,TNS1,PDGFRA,SLC13A3,SLC36A2,MAGI2,ANK2,ANK3,ANK1,SOD3,PLEKHA7,CIT,FABP1,SLC9A3,ILF3,GJB1,GPD1,ALDOB,DOCK2,FBP1
198	TRIB2	185.2	RB1,PDGFRB,ATP6V1A,LRRK2,CALML3,ANK2,ANK3,DUSP9,ANK1,TRIOBP,CIT,HSPD1,PHF8,FABP1,LATS2,BDH2,GRB14,NASP,GPD1,MXRA7,MET,TNS1
199	PINK1	185.5	DDC,LRRK2,HSPB1,ELFN2,TRIOBP,HSPD1,PTDSS1,STBD1,NOS1,TNS1,PDGFRB,RANBP2,PDGFRA,GSTM3,DAXX,USP2,ANK1,SOD3,CIT,CENPF,TH,MAP1B,GSTA1,PPIF,ACO1
200	DCLK1	186	ATP6V1A,LRRK2,CALML3,ARHGEF10L,SYNE2,TGOLN2,AKAP12,EPB41L1,TCEAL2,EPB41L3,MAP6,MYH10,DLGAP2,CHGB,TNS1,SPTBN2,PDGFRB,PDGFRA,PARP4,TMEM132E,DST,MAGI2,MICAL3,NPY1R,ANK2,CGN,ANK3,L1CAM,NPNT,ANK1,SOD3,PLEKHA7,CIT,VIL1,GAP43,LATS2,MAP1B,PARD3,LHX1,MAP7D2,SCG2,MET
201	PDK1	186	TOP2A,LRRK2,NDUFA4L2,NCAPG,HSPD1,CA9,PCK1,HAO2,TNS1,PCK2,PDGFRB,PDGFRA,CASR,GK,PKLR,IDH1,EPHX2,L1CAM,PTPN13,ALDH4A1,SUCLA2,BDH2,DDAH1,PSAT1,PARD3,GPD1,PPIF,ACO1,ALDOB,ARHGEF7,FBP1,MET,FBP2,PFKP,ARHGEF6
202	PTK6	186.3	CDKN1C,LRRK2,PTPRO,FMN2,BLNK,TNS1,PDGFRB,RANBP2,PDGFRA,PKLR,PLCL1,MAGI2,AP3D1,WRNIP1,PDZK1,PTPN13,HSPG2,MPP7,CIT,PARD3B,LATS2,HNRNPK,PLCB4,PARD3,PLCB1,ARHGEF7,MET,ARHGEF6
203	PAK4	186.5	LRRK2,PTPRO,CALML3,FMN2,LRP2,ELFN2,RASAL3,KIF15,BLNK,MYH10,TNS1,SPTBN2,PDGFRB,RANBP2,PDGFRA,DAXX,FCER1G,MYO7B,AP3D1,ANK2,PTPN13,ANK1,HSPG2,DUSP9,CIT,LATS2,HNRNPK,PALLD,KIF4A,ATP6V1B2,ARHGEF7,MET,RABL6,ARHGEF6
204	RIPK2	186.7	RB1,UHRF1,LRRK2,PTPRO,HSPD1,KIF15,BCLAF1,PDLIM2,EPB41L3,BLNK,MYH10,PDGFRB,PDGFRA,DAXX,PKLR,PLCL1,ANK2,ANK3,PDZK1,OSMR,PTPN13,ANK1,HSPG2,CIT,PARD3B,VIL1,LATS2,PLCB4,PARD3,CDHR2,ACIN1,PLIN2,DOCK2,PLCB1,MET,ARHGEF6
205	DYRK1B	187	RB1,LRRK2,NCAPG,SIPA1L2,NOS1,LZTS2,TNS1,PDGFRB,DAXX,GK,USP2,AHNAK2,ANK2,ANK3,PROX1,ANK1,DUSP9,SOD3,CIT,LATS2,LHX1,ALPK2,ARHGEF7,PLEC,ARHGEF6
206	PRKAA2	187.3	RB1,ATP6V1A,UHRF1,LRRK2,FOXI1,CALML3,RASAL3,PIK3R5,PHF8,GRB14,NPY,EPB41L3,PCK1,ACAA1,LZTS2,TNS1,PCK2,PDGFRB,PDGFRA,PKLR,ANK2,WRNIP1,ANK3,ATP1B1,L1CAM,PTPN13,ANK1,DUSP9,CIT,FABP1,HNRNPK,LATS2,GPD1,ACIN1,PLIN2,LAMTOR1,SLC25A5,PLCB1,ARHGEF7,DOCK2,FBP1,MET,PFKP,FBP2,ARHGEF6
207	RPS6KA3	187.9	LRRK2,HSPB1,ARHGEF10L,PEPD,PIK3R5,GRB14,NPY,EPB41L3,NHS,TNS1,PDGFRB,RANBP2,PDGFRA,DAXX,GK,ANK2,PROX1,L1CAM,PTPN13,HSPG2,SLC9A3,HNRNPK,LATS2,TH,MAP7D2,ARHGEF7,MET,ARHGEF6
208	CAMK2D	188.7	RB1,LRRK2,CALML3,TRIOBP,PCM1,GRB14,EPB41L1,NOS1,DLGAP2,SPTBN2,PDGFRB,RANBP2,PDGFRA,CASR,PARP4,DST,MICAL3,ANK2,ANK3,ATP1B1,PTPN13,PRODH2,MPP7,CIT,HNRNPK,LATS2,PLCB4,KCNMA1,PLCB1,MET
209	CDKL5	189.6	AHNAK,LRRK2,KIAA1210,TCOF1,EPB41L3,NHS,MAP6,LZTS2,DLGAP2,PDGFRB,PDGFRA,MAGI2,ANK3,L1CAM,PTPN13,ALDH6A1,CENPF,ILF3,LATS2,KCNMA1,MAP7D2,ACIN1,PLCB1,RABL6,ARHGEF6
